# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_insol:      Insolation Flux [Earth flux]
# COLUMN koi_insol_err1: Insolation Flux Upper Unc. [Earth flux]
# COLUMN koi_insol_err2: Insolation Flux Lower Unc. [Earth flux]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
5531576,K00837.01,Kepler-240 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,7.953547000,1.9100000e-05,-1.9100000e-05,174.6622400,1.820000e-03,-1.820000e-03,0.3000,0.1450,-0.3000,2.63120,0.05950,-0.05950,8.7540e+02,2.530e+01,-2.530e+01,2.25,7.000e-02,-1.400e-01,696.0,,,55.37,7.15,-10.12,38.40,1,q1_q17_dr25_tce,4768.00,76.00,-85.00,4.536,0.056,-0.016,0.7790,0.0230,-0.0490,291.158780,40.750271,15.660
5531576,K00837.02,Kepler-240 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.144516560,1.4400000e-05,-1.4400000e-05,135.9283100,3.130000e-03,-3.130000e-03,0.0040,0.4710,-0.0030,2.34210,0.09840,-0.09840,3.9180e+02,1.980e+01,-1.980e+01,1.48,5.000e-02,-9.000e-02,864.0,,,132.08,17.05,-24.15,22.80,2,q1_q17_dr25_tce,4768.00,76.00,-85.00,4.536,0.056,-0.016,0.7790,0.0230,-0.0490,291.158780,40.750271,15.660
5534814,K00838.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,4.859386384,1.2720000e-06,-1.2720000e-06,173.0114690,2.070000e-04,-2.070000e-04,1.2590,1.0890,-0.1780,2.27570,0.01220,-0.01220,6.0443e+03,2.720e+01,-2.720e+01,38.33,1.280e+01,-4.270e+00,1114.0,,,364.23,358.71,-118.09,269.70,1,q1_q17_dr25_tce,6072.00,168.00,-232.00,4.470,0.056,-0.224,0.9880,0.3300,-0.1100,292.214360,40.759762,15.311
6291653,K00850.01,Kepler-702 b,CONFIRMED,CANDIDATE,0.9990,0,0,0,0,10.526294577,1.7830000e-06,-1.7830000e-06,176.5224620,1.360000e-04,-1.360000e-04,0.6440,0.0310,-0.0450,2.52110,0.02570,-0.02570,9.7680e+03,2.640e+01,-2.640e+01,8.24,1.480e+00,-8.000e-01,713.0,,,61.16,34.56,-16.93,482.30,1,q1_q17_dr25_tce,5386.00,159.00,-159.00,4.553,0.056,-0.104,0.7930,0.1430,-0.0770,293.878110,41.661770,15.305
6392727,K00851.01,Kepler-703 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,4.583520948,4.1800000e-06,-4.1800000e-06,169.9739720,7.330000e-04,-7.330000e-04,0.0450,0.3190,-0.0450,2.70550,0.03210,-0.03210,3.8121e+03,4.450e+01,-4.450e+01,5.39,1.600e+00,-5.300e-01,1038.0,,,274.98,239.18,-77.52,99.50,1,q1_q17_dr25_tce,5815.00,157.00,-175.00,4.540,0.038,-0.212,0.8770,0.2600,-0.0870,299.186860,41.742680,15.287
6422070,K00852.01,Kepler-704 b,CONFIRMED,CANDIDATE,0.8760,0,0,0,0,3.761818430,1.1400000e-05,-1.1400000e-05,171.9036400,2.090000e-03,-2.090000e-03,0.9260,0.0000,-0.6630,3.51760,0.09010,-0.09010,5.1060e+02,1.640e+01,-1.640e+01,2.66,7.300e-01,-2.600e-01,1121.0,,,372.62,300.78,-104.51,35.90,1,q1_q17_dr25_tce,5653.00,154.00,-171.00,4.472,0.062,-0.188,0.9490,0.2600,-0.0930,283.316380,41.837120,15.257
6428700,K00853.01,Kepler-242 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,8.203969580,1.4880000e-05,-1.4880000e-05,169.6913800,1.430000e-03,-1.430000e-03,0.8230,0.0010,-0.5800,2.96670,0.05290,-0.05290,1.0244e+03,2.120e+01,-2.120e+01,3.01,2.400e-01,-3.000e-01,742.0,,,71.50,22.24,-20.23,54.40,1,q1_q17_dr25_tce,5015.00,149.00,-149.00,4.499,0.090,-0.060,0.8260,0.0660,-0.0830,286.565700,41.808399,15.376
6428700,K00853.02,Kepler-242 c,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,14.496451860,6.3600000e-05,-6.3600000e-05,143.4165900,4.090000e-03,-4.090000e-03,0.9700,0.0020,-0.6630,4.01600,0.30500,-0.30500,6.4750e+02,2.670e+01,-2.670e+01,3.01,2.400e-01,-3.000e-01,613.0,,,33.48,10.42,-9.47,25.70,2,q1_q17_dr25_tce,5015.00,149.00,-149.00,4.499,0.090,-0.060,0.8260,0.0660,-0.0830,286.565700,41.808399,15.376
5792202,K00841.03,,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,6.546261490,2.6680000e-05,-2.6680000e-05,133.8596400,3.170000e-03,-3.170000e-03,0.6440,0.2950,-0.4380,2.75000,0.11100,-0.11100,6.5590e+02,3.000e+01,-3.000e+01,2.19,2.200e-01,-8.000e-02,810.0,,,101.78,31.02,-14.45,24.80,3,q1_q17_dr25_tce,5251.00,105.00,-105.00,4.581,0.010,-0.085,0.8170,0.0800,-0.0290,292.236760,41.085880,15.855
5794379,K00842.01,Kepler-241 b,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,12.718098660,2.3240000e-05,-2.3240000e-05,175.3552600,1.520000e-03,-1.520000e-03,0.4270,0.0160,-0.4270,3.09570,0.05620,-0.05620,1.1494e+03,2.450e+01,-2.450e+01,2.31,1.700e-01,-2.200e-01,562.0,,,23.60,6.56,-6.60,52.70,1,q1_q17_dr25_tce,4702.00,128.00,-142.00,4.592,0.058,-0.027,0.6860,0.0490,-0.0670,292.913120,41.060921,15.389
